miner_id,deal_id,payload_cid,filename,size_in_bytes
f01276,1479108,baga6ea4seaqlm6d6gmh42n5csqen75zkviyfckkkalxrl23xmxee5lw6symwsha,picasso.tar.09,34359738368
f064218,1475608,baga6ea4seaqlm6d6gmh42n5csqen75zkviyfckkkalxrl23xmxee5lw6symwsha,picasso.tar.09,34359738368
f022352,1477060,baga6ea4seaqlm6d6gmh42n5csqen75zkviyfckkkalxrl23xmxee5lw6symwsha,picasso.tar.09,34359738368
f01278,1477128,baga6ea4seaqlm6d6gmh42n5csqen75zkviyfckkkalxrl23xmxee5lw6symwsha,picasso.tar.09,34359738368
f015927,1475715,baga6ea4seaqlm6d6gmh42n5csqen75zkviyfckkkalxrl23xmxee5lw6symwsha,picasso.tar.09,34359738368
f022352,1477107,baga6ea4seaqcscg4v5wdmgnwbk3exnwcu5q4mtg4tbhwkzlchfsoxa2yg377qgi,picasso.tar.10,34359738368
f01278,1475883,baga6ea4seaqcscg4v5wdmgnwbk3exnwcu5q4mtg4tbhwkzlchfsoxa2yg377qgi,picasso.tar.10,34359738368
f015927,1475796,baga6ea4seaqcscg4v5wdmgnwbk3exnwcu5q4mtg4tbhwkzlchfsoxa2yg377qgi,picasso.tar.10,34359738368
f064218,1475538,baga6ea4seaqcscg4v5wdmgnwbk3exnwcu5q4mtg4tbhwkzlchfsoxa2yg377qgi,picasso.tar.10,34359738368
f01276,1479130,baga6ea4seaqcscg4v5wdmgnwbk3exnwcu5q4mtg4tbhwkzlchfsoxa2yg377qgi,picasso.tar.10,34359738368
f047419,1474279,baga6ea4seaqg4pbhp22um7dyjpvbmbev22diqzuy6yqzjnv6c3trntkkiofzkea,sid.tar.00,34359738368
f08403,1473726,baga6ea4seaqg4pbhp22um7dyjpvbmbev22diqzuy6yqzjnv6c3trntkkiofzkea,sid.tar.00,34359738368
f02387,1479879,baga6ea4seaqg4pbhp22um7dyjpvbmbev22diqzuy6yqzjnv6c3trntkkiofzkea,sid.tar.00,34359738368
f062353,1471630,baga6ea4seaqg4pbhp22um7dyjpvbmbev22diqzuy6yqzjnv6c3trntkkiofzkea,sid.tar.00,34359738368
f047419,1474271,baga6ea4seaqgvguqzzqxqjqul6faj4ce5i6x5hrrwf2lv464ctdvpuy67mm2idq,sid.tar.01,34359738368
f062353,1472205,baga6ea4seaqgvguqzzqxqjqul6faj4ce5i6x5hrrwf2lv464ctdvpuy67mm2idq,sid.tar.01,34359738368
f08403,1473742,baga6ea4seaqgvguqzzqxqjqul6faj4ce5i6x5hrrwf2lv464ctdvpuy67mm2idq,sid.tar.01,34359738368
f062353,1472242,baga6ea4seaqcxyurddn3solsratn4kug7o3n7k52x672iqajiqmlitvzq3pzgiy,sid.tar.02,34359738368
f047419,1480641,baga6ea4seaqcxyurddn3solsratn4kug7o3n7k52x672iqajiqmlitvzq3pzgiy,sid.tar.02,34359738368
